SalesOrderNumber,SalesOrderLineNumber,SalesReasonKey
SO43697,2,2
SO43702,2,2
SO43703,2,2
SO43706,2,2
SO43707,2,2
SO43709,2,2
SO43710,2,2
SO43711,2,2
SO43712,2,2
SO43713,2,2
SO43714,2,2
SO43715,2,2
SO43716,2,2
SO43718,2,2
SO43719,2,2
SO43720,2,2
SO43721,2,2
SO43722,2,2
SO43724,2,2
SO43725,2,2
SO43727,2,2
SO43728,2,2
SO43731,2,2
SO43733,2,2
SO43734,2,2
SO43735,2,2
SO43737,2,2
SO43738,2,2
SO43739,2,2
SO43740,2,2
SO43741,2,2
SO43742,2,2
SO43744,2,2
SO43745,2,2
SO43746,2,2
SO43747,2,2
SO43748,2,2
SO43749,2,2
SO43750,2,2
SO43751,2,2
SO43752,2,2
SO43753,2,2
SO43754,2,2
SO43755,2,2
SO43758,2,2
SO43759,2,2
SO43760,2,2
SO43761,2,2
SO43762,2,2
SO43763,2,2
SO43764,2,2
SO43766,2,2
SO43768,2,2
SO43769,2,2
SO43770,2,2
SO43772,2,2
SO43773,2,2
SO43774,2,2
SO43776,2,2
SO43777,2,2
SO43780,2,2
SO43781,2,2
SO43782,2,2
SO43783,2,2
SO43784,2,2
SO43785,2,2
SO43786,2,2
SO43791,2,2
SO43792,2,2
SO43795,2,2
SO43797,2,2
SO43798,2,2
SO43799,2,2
SO43800,2,2
SO43801,2,2
SO43802,2,2
SO43803,2,2
SO43804,2,2
SO43806,2,2
SO43807,2,2
SO43808,2,2
SO43809,2,2
SO43812,2,2
SO43815,2,2
SO43816,2,2
SO43817,2,2
SO43818,2,2
SO43820,2,2
SO43821,2,2
SO43822,2,2
SO43825,2,2
SO43828,2,2
SO43829,2,2
SO43830,2,2
SO43832,2,2
SO43833,2,2
SO43838,2,2
SO43839,2,2
SO43841,2,2
SO43842,2,2
SO43918,2,2
SO43919,2,2
SO43920,2,2
SO43921,2,2
SO43922,2,2
SO43923,2,2
SO43924,2,2
SO43925,2,2
SO43927,2,2
SO43928,2,2
SO43930,2,2
SO43931,2,2
SO43932,2,2
SO43936,2,2
SO43937,2,2
SO43938,2,2
SO43939,2,2
SO43941,2,2
SO43942,2,2
SO43945,2,2
SO43946,2,2
SO43947,2,2
SO43949,2,2
SO43950,2,2
SO43951,2,2
SO43952,2,2
SO43954,2,2
SO43955,2,2
SO43957,2,2
SO43958,2,2
SO43961,2,2
SO43962,2,2
SO43963,2,2
SO43964,2,2
SO43967,2,2
SO43968,2,2
SO43969,2,2
SO43970,2,2
SO43971,2,2
SO43972,2,2
SO43973,2,2
SO43974,2,2
SO43975,2,2
SO43976,2,2
SO43977,2,2
SO43978,2,2
SO43981,2,2
SO43983,2,2
SO43984,2,2
SO43985,2,2
SO43986,2,2
SO43987,2,2
SO43989,2,2
SO43991,2,2
SO43992,2,2
SO43993,2,2
SO43994,2,2
SO43995,2,2
SO43996,2,2
SO43997,2,2
SO43999,2,2
SO44000,2,2
SO44001,2,2
SO44004,2,2
SO44006,2,2
SO44008,2,2
SO44009,2,2
SO44010,2,2
SO44011,2,2
SO44013,2,2
SO44014,2,2
SO44015,2,2
SO44017,2,2
SO44019,2,2
SO44020,2,2
SO44022,2,2
SO44024,2,2
SO44025,2,2
SO44026,2,2
SO44027,2,2
SO44028,2,2
SO44030,2,2
SO44031,2,2
SO44033,2,2
SO44034,2,2
SO44035,2,2
SO44036,2,2
SO44041,2,2
SO44042,2,2
SO44043,2,2
SO44044,2,2
SO44046,2,2
SO44048,2,2
SO44049,2,2
SO44050,2,2
SO44051,2,2
SO44052,2,2
SO44054,2,2
SO44055,2,2
SO44056,2,2
SO44059,2,2
SO44061,2,2
SO44062,2,2
SO44064,2,2
SO44065,2,2
SO44067,2,2
SO44068,2,2
SO44071,2,2
SO44072,2,2
SO44134,2,2
SO44135,2,2
SO44136,2,2
SO44137,2,2
SO44138,2,2
SO44139,2,2
SO44140,2,2
SO44141,2,2
SO44142,2,2
SO44143,2,2
SO44144,2,2
SO44145,2,2
SO44146,2,2
SO44147,2,2
SO44148,2,2
SO44149,2,2
SO44150,2,2
SO44153,2,2
SO44154,2,2
SO44155,2,2
SO44157,2,2
SO44158,2,2
SO44159,2,2
SO44160,2,2
SO44161,2,2
SO44162,2,2
SO44163,2,2
SO44164,2,2
SO44165,2,2
SO44167,2,2
SO44168,2,2
SO44169,2,2
SO44170,2,2
SO44171,2,2
SO44173,2,2
SO44174,2,2
SO44175,2,2
SO44176,2,2
SO44178,2,2
SO44181,2,2
SO44182,2,2
SO44183,2,2
SO44184,2,2
SO44185,2,2
SO44187,2,2
SO44191,2,2
SO44192,2,2
SO44193,2,2
SO44194,2,2
SO44195,2,2
SO44196,2,2
SO44197,2,2
SO44198,2,2
SO44199,2,2
SO44200,2,2
SO44201,2,2
SO44202,2,2
SO44203,2,2
SO44205,2,2
SO44207,2,2
SO44209,2,2
SO44210,2,2
SO44211,2,2
SO44212,2,2
SO44213,2,2
SO44214,2,2
SO44215,2,2
SO44216,2,2
SO44217,2,2
SO44218,2,2
SO44221,2,2
SO44222,2,2
SO44223,2,2
SO44224,2,2
SO44226,2,2
SO44230,2,2
SO44232,2,2
SO44233,2,2
SO44234,2,2
SO44235,2,2
SO44236,2,2
SO44237,2,2
SO44238,2,2
SO44239,2,2
SO44240,2,2
SO44241,2,2
SO44242,2,2
SO44243,2,2
SO44244,2,2
SO44246,2,2
SO44247,2,2
SO44248,2,2
SO44249,2,2
SO44250,2,2
SO44251,2,2
SO44252,2,2
SO44253,2,2
SO44254,2,2
SO44256,2,2
SO44257,2,2
SO44258,2,2
SO44259,2,2
SO44260,2,2
SO44261,2,2
SO44263,2,2
SO44264,2,2
SO44268,2,2
SO44270,2,2
SO44271,2,2
SO44272,2,2
SO44273,2,2
SO44274,2,2
SO44275,2,2
SO44276,2,2
SO44277,2,2
SO44278,2,2
SO44279,2,2
SO44320,2,2
SO44321,2,2
SO44324,2,2
SO44326,2,2
SO44327,2,2
SO44328,2,2
SO44329,2,2
SO44330,2,2
SO44331,2,2
SO44332,2,2
SO44334,2,2
SO44338,2,2
SO44339,2,2
SO44340,2,2
SO44343,2,2
SO44344,2,2
SO44345,2,2
SO44347,2,2
SO44348,2,2
SO44349,2,2
SO44350,2,2
SO44351,2,2
SO44352,2,2
SO44357,2,2
SO44358,2,2
SO44359,2,2
SO44360,2,2
SO44361,2,2
SO44362,2,2
SO44363,2,2
SO44365,2,2
SO44366,2,2
SO44368,2,2
SO44369,2,2
SO44370,2,2
SO44371,2,2
SO44372,2,2
SO44373,2,2
SO44374,2,2
SO44375,2,2
SO44377,2,2
SO44380,2,2
SO44381,2,2
SO44383,2,2
SO44384,2,2
SO44385,2,2
SO44386,2,2
SO44388,2,2
SO44389,2,2
SO44390,2,2
SO44391,2,2
SO44392,2,2
SO44394,2,2
SO44395,2,2
SO44398,2,2
SO44399,2,2
SO44400,2,2
SO44401,2,2
SO44402,2,2
SO44404,2,2
SO44405,2,2
SO44406,2,2
SO44410,2,2
SO44411,2,2
SO44413,2,2
SO44414,2,2
SO44415,2,2
SO44417,2,2
SO44418,2,2
SO44419,2,2
SO44420,2,2
SO44421,2,2
SO44423,2,2
SO44424,2,2
SO44425,2,2
SO44426,2,2
SO44427,2,2
SO44428,2,2
SO44429,2,2
SO44430,2,2
SO44431,2,2
SO44432,2,2
SO44433,2,2
SO44434,2,2
SO44435,2,2
SO44438,2,2
SO44439,2,2
SO44440,2,2
SO44441,2,2
SO44443,2,2
SO44444,2,2
SO44445,2,2
SO44446,2,2
SO44447,2,2
SO44448,2,2
SO44449,2,2
SO44450,2,2
SO44451,2,2
SO44453,2,2
SO44454,2,2
SO44455,2,2
SO44457,2,2
SO44458,2,2
SO44459,2,2
SO44461,2,2
SO44462,2,2
SO44464,2,2
SO44469,2,2
SO44470,2,2
SO44472,2,2
SO44473,2,2
SO44476,2,2
SO44477,2,2
SO44478,2,2
SO44572,2,2
SO44576,2,2
SO44577,2,2
SO44578,2,2
SO44579,2,2
SO44580,2,2
SO44583,2,2
SO44584,2,2
SO44585,2,2
SO44586,2,2
SO44587,2,2
SO44590,2,2
SO44592,2,2
SO44593,2,2
SO44594,2,2
SO44596,2,2
SO44597,2,2
SO44599,2,2
SO44600,2,2
SO44602,2,2
SO44605,2,2
SO44606,2,2
SO44607,2,2
SO44608,2,2
SO44609,2,2
SO44610,2,2
SO44611,2,2
SO44612,2,2
SO44613,2,2
SO44614,2,2
SO44615,2,2
SO44616,2,2
SO44617,2,2
SO44618,2,2
SO44619,2,2
SO44620,2,2
SO44621,2,2
SO44622,2,2
SO44623,2,2
SO44625,2,2
SO44626,2,2
SO44629,2,2
SO44630,2,2
SO44631,2,2
SO44632,2,2
SO44633,2,2
SO44634,2,2
SO44635,2,2
SO44636,2,2
SO44637,2,2
SO44638,2,2
SO44640,2,2
SO44641,2,2
SO44643,2,2
SO44644,2,2
SO44647,2,2
SO44651,2,2
SO44654,2,2
SO44656,2,2
SO44658,2,2
SO44659,2,2
SO44660,2,2
SO44663,2,2
SO44664,2,2
SO44666,2,2
SO44667,2,2
SO44668,2,2
SO44670,2,2
SO44671,2,2
SO44672,2,2
SO44673,2,2
SO44674,2,2
SO44676,2,2
SO44677,2,2
SO44678,2,2
SO44680,2,2
SO44682,2,2
SO44683,2,2
SO44684,2,2
SO44685,2,2
SO44686,2,2
SO44688,2,2
SO44689,2,2
SO44692,2,2
SO44693,2,2
SO44694,2,2
SO44696,2,2
SO44697,2,2
SO44699,2,2
SO44700,2,2
SO44702,2,2
SO44703,2,2
SO44705,2,2
SO44706,2,2
SO44707,2,2
SO44709,2,2
SO44710,2,2
SO44711,2,2
SO44713,2,2
SO44714,2,2
SO44715,2,2
SO44716,2,2
SO44718,2,2
SO44719,2,2
SO44720,2,2
SO44722,2,2
SO44724,2,2
SO44727,2,2
SO44729,2,2
SO44730,2,2
SO44731,2,2
SO44732,2,2
SO44733,2,2
SO44734,2,2
SO44735,2,2
SO44737,2,2
SO44738,2,2
SO44739,2,2
SO44803,2,2
SO44804,2,2
SO44805,2,2
SO44806,2,2
SO44808,2,2
SO44810,2,2
SO44811,2,2
SO44812,2,2
SO44813,2,2
SO44814,2,2
SO44816,2,2
SO44817,2,2
SO44818,2,2
SO44819,2,2
SO44822,2,2
SO44823,2,2
SO44824,2,2
SO44825,2,2
SO44826,2,2
SO44828,2,2
SO44830,2,2
SO44832,2,2
SO44833,2,2
SO44835,2,2
SO44836,2,2
SO44837,2,2
SO44838,2,2
SO44839,2,2
SO44840,2,2
SO44841,2,2
SO44842,2,2
SO44843,2,2
SO44844,2,2
SO44845,2,2
SO44846,2,2
SO44851,2,2
SO44852,2,2
SO44854,2,2
SO44857,2,2
SO44858,2,2
SO44859,2,2
SO44860,2,2
SO44861,2,2
SO44862,2,2
SO44863,2,2
SO44867,2,2
SO44868,2,2
SO44869,2,2
SO44870,2,2
SO44872,2,2
SO44873,2,2
SO44875,2,2
SO44876,2,2
SO44877,2,2
SO44878,2,2
SO44879,2,2
SO44880,2,2
SO44881,2,2
SO44882,2,2
SO44883,2,2
SO44884,2,2
SO44885,2,2
SO44886,2,2
SO44887,2,2
SO44888,2,2
SO44891,2,2
SO44892,2,2
SO44893,2,2
SO44897,2,2
SO44898,2,2
SO44900,2,2
SO44901,2,2
SO44902,2,2
SO44903,2,2
SO44905,2,2
SO44906,2,2
SO44908,2,2
SO44909,2,2
SO44912,2,2
SO44913,2,2
SO44914,2,2
SO44915,2,2
SO44916,2,2
SO44917,2,2
SO44919,2,2
SO44921,2,2
SO44922,2,2
SO44923,2,2
SO44924,2,2
SO44925,2,2
SO44928,2,2
SO44929,2,2
SO44930,2,2
SO44931,2,2
SO44932,2,2
SO44933,2,2
SO44934,2,2
SO44935,2,2
SO44936,2,2
SO44937,2,2
SO44938,2,2
SO44939,2,2
SO44940,2,2
SO44941,2,2
SO44942,2,2
SO44948,2,2
SO44950,2,2
SO44951,2,2
SO44953,2,2
SO44954,2,2
SO44957,2,2
SO44959,2,2
SO44960,2,2
SO44961,2,2
SO44962,2,2
SO44966,2,2
SO44967,2,2
SO44969,2,2
SO44970,2,2
SO44971,2,2
SO44972,2,2
SO44973,2,2
SO44974,2,2
SO44975,2,2
SO44976,2,2
SO44977,2,2
SO44979,2,2
SO44980,2,2
SO44981,2,2
SO44982,2,2
SO44983,2,2
SO44984,2,2
SO44985,2,2
SO44987,2,2
SO44989,2,2
SO44991,2,2
SO44992,2,2
SO44994,2,2
SO44995,2,2
SO44997,2,2
SO44999,2,2
SO45000,2,2
SO45001,2,2
SO45002,2,2
SO45003,2,2
SO45004,2,2
SO45005,2,2
SO45006,2,2
SO45007,2,2
SO45008,2,2
SO45010,2,2
SO45011,2,2
SO45013,2,2
SO45016,2,2
SO45017,2,2
SO45018,2,2
SO45019,2,2
SO45020,2,2
SO45023,2,2
SO45025,2,2
SO45027,2,2
SO45028,2,2
SO45029,2,2
SO45031,2,2
SO45032,2,2
SO45033,2,2
SO45034,2,2
SO45035,2,2
SO45036,2,2
SO45078,2,2
SO45079,2,2
SO45083,2,2
SO45084,2,2
SO45085,2,2
SO45086,2,2
SO45090,2,2
SO45091,2,2
SO45092,2,2
SO45093,2,2
SO45094,2,2
SO45096,2,2
SO45097,2,2
SO45098,2,2
SO45099,2,2
SO45101,2,2
SO45102,2,2
SO45103,2,2
SO45104,2,2
SO45105,2,2
SO45107,2,2
SO45108,2,2
SO45109,2,2
SO45110,2,2
SO45113,2,2
SO45114,2,2
SO45116,2,2
SO45118,2,2
SO45119,2,2
SO45121,2,2
SO45122,2,2
SO45123,2,2
SO45124,2,2
SO45125,2,2
SO45126,2,2
SO45127,2,2
SO45128,2,2
SO45130,2,2
SO45133,2,2
SO45134,2,2
SO45135,2,2
SO45136,2,2
SO45137,2,2
SO45139,2,2
SO45140,2,2
SO45141,2,2
SO45142,2,2
SO45143,2,2
SO45144,2,2
SO45145,2,2
SO45146,2,2
SO45147,2,2
SO45149,2,2
SO45151,2,2
SO45152,2,2
SO45153,2,2
SO45154,2,2
SO45155,2,2
SO45160,2,2
SO45162,2,2
SO45165,2,2
SO45166,2,2
SO45167,2,2
SO45168,2,2
SO45169,2,2
SO45173,2,2
SO45174,2,2
SO45175,2,2
SO45176,2,2
SO45177,2,2
SO45180,2,2
SO45181,2,2
SO45182,2,2
SO45185,2,2
SO45186,2,2
SO45187,2,2
SO45188,2,2
SO45189,2,2
SO45190,2,2
SO45192,2,2
SO45193,2,2
SO45194,2,2
SO45195,2,2
SO45196,2,2
SO45197,2,2
SO45198,2,2
SO45200,2,2
SO45201,2,2
SO45202,2,2
SO45203,2,2
SO45206,2,2
SO45207,2,2
SO45209,2,2
SO45210,2,2
SO45211,2,2
SO45212,2,2
SO45214,2,2
SO45215,2,2
SO45216,2,2
SO45217,2,2
SO45219,2,2
SO45220,2,2
SO45221,2,2
SO45223,2,2
SO45224,2,2
SO45228,2,2
SO45230,2,2
SO45231,2,2
SO45232,2,2
SO45235,2,2
SO45236,2,2
SO45237,2,2
SO45240,2,2
SO45241,2,2
SO45242,2,2
SO45245,2,2
SO45246,2,2
SO45249,2,2
SO45250,2,2
SO45252,2,2
SO45253,2,2
SO45254,2,2
SO45255,2,2
SO45257,2,2
SO45259,2,2
SO45260,2,2
SO45261,2,2
SO45262,2,2
SO45345,2,2
SO45346,2,2
SO45348,2,2
SO45349,2,2
SO45350,2,2
SO45351,2,2
SO45352,2,2
SO45353,2,2
SO45355,2,2
SO45356,2,2
SO45358,2,2
SO45359,2,2
SO45360,2,2
SO45361,2,2
SO45362,2,2
SO45363,2,2
SO45364,2,2
SO45365,2,2
SO45369,2,2
SO45370,2,2
SO45371,2,2
SO45374,2,2
SO45375,2,2
SO45377,2,2
SO45378,2,2
SO45379,2,2
SO45382,2,2
SO45386,2,2
SO45387,2,2
SO45389,2,2
SO45390,2,2
SO45391,2,2
SO45393,2,2
SO45395,2,2
SO45396,2,2
SO45397,2,2
SO45398,2,2
SO45399,2,2
SO45400,2,2
SO45401,2,2
SO45403,2,2
SO45404,2,2
SO45405,2,2
SO45407,2,2
SO45408,2,2
SO45409,2,2
SO45410,2,2
SO45411,2,2
SO45412,2,2
SO45413,2,2
SO45415,2,2
SO45416,2,2
SO45417,2,2
SO45418,2,2
SO45419,2,2
SO45420,2,2
SO45421,2,2
SO45422,2,2
SO45424,2,2
SO45425,2,2
SO45426,2,2
SO45429,2,2
SO45430,2,2
SO45431,2,2
SO45432,2,2
SO45433,2,2
SO45434,2,2
SO45436,2,2
SO45437,2,2
SO45438,2,2
SO45440,2,2
SO45441,2,2
SO45442,2,2
SO45443,2,2
SO45444,2,2
SO45445,2,2
SO45447,2,2
SO45449,2,2
SO45450,2,2
SO45451,2,2
SO45452,2,2
SO45453,2,2
SO45454,2,2
SO45455,2,2
SO45456,2,2
SO45457,2,2
SO45458,2,2
SO45459,2,2
SO45461,2,2
